num_features,recall,precision,f1_score,false_negatives
1,0.9269021261641188,0.9266299604108916,0.9267202963341583,416
2,0.9479880513090845,0.9485461186713285,0.9481670689494591,296
3,0.8662800913723423,0.8739129455136728,0.8681587134498295,761
4,0.9051133368476542,0.9095063693629488,0.906159071964855,540
5,0.8784044983306976,0.8877170551502072,0.8803465524769902,692
6,0.8952732384466702,0.8989773112016834,0.8962841865910487,596
7,0.8980846951326656,0.9010539069275115,0.8989440495541803,580
8,0.8989632753470392,0.9028146918216404,0.8999737280544372,575
9,0.9054647689334037,0.9091722267347396,0.9064055283770254,538
10,0.9130205587770164,0.9162801928643086,0.9138383854629674,495
11,0.9135477069056405,0.916387981461429,0.9142945445218437,492
12,0.9165348796345106,0.9193552982612415,0.9172602080311858,475
13,0.9146020031628888,0.9176963341396478,0.9153833860034896,486
14,0.91688631172026,0.9201937946446888,0.9176844708180276,473
15,0.9230363732208751,0.9255762881934447,0.9236773439591436,438
16,0.9261992619926199,0.9289467529524427,0.9268519660994504,420
17,0.9265506940783693,0.9285141076461276,0.9270769771364696,418
18,0.925496397821121,0.928100389881029,0.9261323265512706,424
19,0.9269021261641188,0.9293343680757752,0.9275032901479323,416
20,0.9240906694781233,0.9265149549116859,0.9247070264093362,432
21,0.9202249165348796,0.9232276930352908,0.920954850299556,454
22,0.9251449657353716,0.927455980522577,0.9257370535128046,426
23,0.9230363732208751,0.9253776372191164,0.9236451395272498,438
24,0.9216306448778774,0.9239432087070124,0.9222422697140065,446
